70711087;https://savegnago.vteximg.com.br/arquivos/ids/282561_2;Alho Granulado Kisabor 30g;Mercearia;4.48;Kisabor
70710521;https://savegnago.vteximg.com.br/arquivos/ids/289942_2;Iogurte Polpa Activia 120g Pedaços Frutas Silvestres;Laticínios;3.65;Activa
70707471;https://savegnago.vteximg.com.br/arquivos/ids/446156_2;Brócolis Rama Campo Alegre 200g;Hortifruti;6.50;Campo Alegre
70708013;https://savegnago.vteximg.com.br/arquivos/ids/320207_2;Pó Facial Hd Vult 9g Solto Translucido;Perfumaria E Beleza;30.90;Vult
70710647;https://savegnago.vteximg.com.br/arquivos/ids/291386_2;Mini Milho Conserva Kuhne 110g;Mercearia;15.39;Kuhne
70713073;https://savegnago.vteximg.com.br/arquivos/ids/293823_2;Vinho Chileno Emiliana Adobe 750ml Pinot Noir Tinto;Bebidas;95.90;Emiliana
70714714;https://savegnago.vteximg.com.br/arquivos/ids/286944_2;Joelho Da Paleta Resfriado 1,200kg Bandeja;Carnes;17.88;Sem Marca
70710075;https://savegnago.vteximg.com.br/arquivos/ids/291509_2;Leite Po Sem Lactose Supra Soy 300g Nature;Bebidas;22.90;Supra Soy
70703581;https://savegnago.vteximg.com.br/arquivos/ids/304479_2;Biscoito Rosquinha Galo 400g Coco;Mercearia;3.99;Galo
70710202;https://savegnago.vteximg.com.br/arquivos/ids/291056_2;Bolinho Suavipan 40g Zero Acucar Baunilha Com Chocolate;Mercearia;3.69;Suavipan
70705957;https://savegnago.vteximg.com.br/arquivos/ids/446494_2;Salgadinho Batata Pringles 112g Wavy Barbecue;Mercearia;17.49;Pringles
70714265;https://savegnago.vteximg.com.br/arquivos/ids/448031_2;Creme Pentear Niely Gold 250g Liso Pleno;Perfumaria E Beleza;8.39;Niely Gold
70714498;https://savegnago.vteximg.com.br/arquivos/ids/265409_2;Vela Moroaba 380g Novena;Bazar E Utilidades;16.55;Moroaba
